strategy,final_levels,information_loss,row_coverage,relative_sum_error,probe_messages,tested_candidates,aggregate_latency_ms,aggregate_rows_sent,aggregate_bytes_sent,seed,k,query_id,n_parties,probe_latency_ms,wall_latency_ms
local_suppression,geo=city;product=category,0.0,0.92845,0.07420744719464092,0.0,0.0,32.853289000058794,143.0,16004.0,33,20,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,57.297281000046496,20.0,2332.0,33,20,Q2,4,87.79252600004384,199.89249200000359
local_suppression,geo=city;age=age_decade;product=category,0.0,0.71065,0.279243431232887,0.0,0.0,38.86987299983957,299.0,36959.0,33,20,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,69.94392100011737,80.0,10085.0,33,20,Q3,4,329.8784699995849,471.1865880000232
local_suppression,geo=state;age=age_decade;time=month,0.0,0.5821,0.4180776754259491,0.0,0.0,39.84577199992145,320.0,39696.0,33,20,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=month,0.34375,1.0,0.0,40.0,10.0,63.74757100002171,192.0,23843.0,33,20,Q4,4,311.8130770000107,435.8737939999173
local_suppression,geo=city;time=month,0.0,0.8526,0.1476965454437874,0.0,0.0,31.36032100007924,234.0,25881.0,33,20,Q5,4,,
coordinated_rollup,geo=city;time=year,0.303030303030303,1.0,0.0,16.0,4.0,51.437967999959255,60.0,6458.0,33,20,Q5,4,98.85636100000283,214.49459599989495
local_suppression,age=age;product=category,0.0,0.63995,0.3616890706952412,0.0,0.0,34.97255099989616,338.0,34232.0,33,20,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,65.4310910000504,80.0,8805.0,33,20,Q6,4,89.00661199993465,210.00974199989741
